supplier_id,supplier_name,contact_email,city
1,Reliance Digital,support@reliance.com,Mumbai
2,Croma Electronics,info@croma.com,Delhi
3,Flipkart Seller Hub,sellers@flipkart.com,Bengaluru
4,Amazon India Vendor,vendor@amazon.in,Hyderabad
5,Tata Cliq,support@tatacliq.com,Pune
6,Vijay Sales,sales@vijaysales.com,Chennai
7,Lifestyle Stores,info@lifestylestores.com,Kolkata
8,Metro Electronics,metro@electronics.com,Ahmedabad
9,Big Bazaar,help@bigbazaar.com,Indore
10,D-Mart Suppliers,supply@dmart.in,Nagpur
11,Shoppers Stop,contact@shoppersstop.com,Jaipur
12,Snapdeal Vendors,vendor@snapdeal.com,Noida
